City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Mount Pleasant,US,74.05,scattered clouds,32.7941,-79.8626,Best Western Patriots Point
7,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
9,Ribeira Grande,PT,72.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
11,San Patricio,US,75.06,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
13,Noumea,NC,75.99,few clouds,-22.2763,166.4572,Hôtel Le Lagon
14,Rikitea,PF,73.78,overcast clouds,-23.1203,-134.9692,People ThankYou
15,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
18,Cap Malheureux,MU,79.29,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
29,Hermanus,ZA,70.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
34,Palmas Bellas,PA,79.25,overcast clouds,9.2319,-80.0867,Estación de Chagres
37,Faanui,PF,78.15,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
42,Yarada,IN,79.12,overcast clouds,17.65,83.2667,Vishranti
46,Atuona,PF,77.83,light rain,-9.8,-139.0333,Villa Enata
48,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
50,Umm Lajj,SA,83.73,clear sky,25.0213,37.2685,Moon light Furnished Units
52,Hervey Bay,AU,76.03,few clouds,-25.2986,152.8535,Shelly Bay Resort
53,Ixtapa,MX,80.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
58,Hilo,US,72.63,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
69,Owando,CG,84.7,light rain,-0.4819,15.8999,Exaunel Hotel Owando
73,Butaritari,KI,82.38,light rain,3.0707,172.7902,Isles Sunset Lodge
76,Hithadhoo,MV,82.24,few clouds,-0.6,73.0833,Scoop Guest House
80,Valdez,EC,77.25,overcast clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
84,Imbituba,BR,77.83,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
89,Saint-Philippe,RE,81.48,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
90,Yei,SS,81.68,light rain,4.095,30.6779,City Link Hotel
92,Nasirabad,IN,77.67,clear sky,26.3,74.7333,Lakshmi Hotel
96,Salamiyah,SY,79.09,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
99,Xuddur,SO,79.59,light rain,4.1213,43.8894,Banjanay Hotel
102,Labrea,BR,84.87,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
106,Bowen,AU,77.79,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
107,Padang,ID,78.85,light rain,-0.9492,100.3543,Mercure Padang
108,Sinnamary,GF,83.08,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
110,Nouadhibou,MR,80.58,clear sky,20.931,-17.0347,El Medina
115,Ponta Do Sol,PT,73.71,overcast clouds,32.6667,-17.1,Hotel do Campo
116,Gushikawa,JP,72.63,overcast clouds,26.3544,127.8686,Kirari Guest House
117,Mabopane,ZA,79.66,few clouds,-25.4977,28.1007,Wolf Residence
118,Buala,SB,80.69,light rain,-8.145,159.5921,Maringe Lagoon Lodge
119,Meulaboh,ID,77.29,overcast clouds,4.1363,96.1285,Kost Pria
120,Las Palmas,ES,72.39,broken clouds,28.4204,-14.0131,Casillas De Morales 59.
122,Dingle,PH,75.52,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
125,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
128,Ilinge,ZA,73.9,overcast clouds,-31.9768,27.0427,Ilinge
130,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
132,Lata,PT,71.35,clear sky,40.1629,-8.3327,Casa Maquia
138,Nautla,MX,74.1,overcast clouds,20.2167,-96.7833,Casa Blanca
140,Lazaro Cardenas,MX,77.9,overcast clouds,17.9583,-102.2,quinta antigua
141,Ramotswa,BW,83.82,broken clouds,-24.8716,25.8699,Nako Guest House @ Ramotswa
142,Morondava,MG,76.84,clear sky,-20.2833,44.2833,La Case Bambou
145,Kinablangan,PH,78.91,overcast clouds,7.6947,126.5503,Danny Moreno Property
148,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
150,Ponedera,CO,78.94,few clouds,10.641,-74.7503,HOTEL SHALOM
153,Kilindoni,TZ,79.92,scattered clouds,-7.9139,39.6668,Bustani B&B
154,Cabo San Lucas,MX,77.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
156,Vanimo,PG,77.94,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
159,Isangel,VU,76.51,overcast clouds,-19.55,169.2667,Tanna Lodge
161,Wewak,PG,78.22,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
163,Sao Filipe,CV,83.62,clear sky,14.8961,-24.4956,Hotel Xaguate
164,Kluang,MY,73.13,light rain,2.0251,103.3328,Hotel Anika
172,Honiara,SB,77.76,broken clouds,-9.4333,159.95,Heritage Park Hotel
173,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
174,San Vicente,AR,76.32,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
175,Sarangani,PH,82.49,overcast clouds,5.4033,125.4636,Ballistic Islet
181,San Luis,AR,71.62,clear sky,-33.295,-66.3356,Huarpes Hotel
183,Narasannapeta,IN,79.99,overcast clouds,18.4167,84.05,G.lingaraju home
185,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
