City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Mount Pleasant,US,32.7941,-79.8626,74.05,92,40,8.01,scattered clouds
1,Paamiut,GL,61.994,-49.6678,36.79,78,100,17.65,overcast clouds
2,Lagoa,PT,39.05,-27.9833,67.78,70,28,7.07,scattered clouds
3,Hobart,AU,-42.8794,147.3294,60.26,85,90,1.99,overcast clouds
4,Talara,PE,-4.5772,-81.2719,65.16,82,20,18.41,few clouds
5,North Branford,US,41.3276,-72.7673,66.72,81,40,1.99,scattered clouds
6,Port Alfred,ZA,-33.5906,26.891,64.51,85,100,20.69,light rain
7,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,60,20,3.44,few clouds
8,Airai,TL,-8.9266,125.4092,64.67,82,39,1.86,scattered clouds
9,Ribeira Grande,PT,38.5167,-28.7,72.0,78,20,5.75,few clouds
10,Mataura,NZ,-46.1927,168.8643,43.74,93,100,1.79,overcast clouds
11,San Patricio,US,28.017,-97.5169,75.06,91,50,5.1,scattered clouds
12,Beringovskiy,RU,63.05,179.3167,18.7,88,100,16.96,overcast clouds
13,Noumea,NC,-22.2763,166.4572,75.99,99,17,3.44,few clouds
14,Rikitea,PF,-23.1203,-134.9692,73.78,80,100,24.32,overcast clouds
15,Vila Velha,BR,-20.3297,-40.2925,75.15,69,75,6.91,broken clouds
16,Punta Arenas,CL,-53.15,-70.9167,46.51,53,75,23.02,broken clouds
17,Kaitangata,NZ,-46.2817,169.8464,45.3,95,100,3.36,overcast clouds
18,Cap Malheureux,MU,-19.9842,57.6142,79.29,74,71,4.0,broken clouds
19,Goderich,CA,43.7501,-81.7165,45.91,87,100,5.75,overcast clouds
20,Albany,US,42.6001,-73.9662,60.46,85,100,9.37,overcast clouds
21,Tasiilaq,GL,65.6145,-37.6368,35.76,83,100,5.21,light rain
22,Ushuaia,AR,-54.8,-68.3,46.06,46,75,21.85,broken clouds
23,Solnechnyy,RU,50.7214,136.6319,27.14,89,20,5.01,few clouds
24,College,US,64.8569,-147.8028,25.59,89,20,3.44,few clouds
25,Fortuna,US,40.5982,-124.1573,55.74,70,20,4.0,few clouds
26,Dunedin,NZ,-45.8742,170.5036,52.81,83,100,5.01,overcast clouds
27,Flinders,AU,-34.5833,150.8552,65.21,82,5,1.01,clear sky
28,Thompson,CA,55.7435,-97.8558,26.76,100,90,5.75,mist
29,Hermanus,ZA,-34.4187,19.2345,70.81,65,97,28.63,overcast clouds
30,Nizwa,OM,22.9333,57.5333,91.11,25,0,9.84,clear sky
31,Esperance,AU,-33.8667,121.9,53.44,68,63,8.88,broken clouds
32,Shubarkuduk,KZ,49.1447,56.4872,55.04,40,100,18.45,overcast clouds
33,Geraldton,AU,-28.7667,114.6,64.81,77,0,16.11,clear sky
34,Palmas Bellas,PA,9.2319,-80.0867,79.25,84,100,3.09,overcast clouds
35,Castro,BR,-24.7911,-50.0119,66.42,55,0,4.16,clear sky
36,Buraydah,SA,26.326,43.975,93.65,11,0,3.22,clear sky
37,Faanui,PF,-16.4833,-151.75,78.15,80,0,7.2,light rain
38,Valparaiso,CL,-33.0393,-71.6273,58.48,84,75,3.44,broken clouds
39,Puerto Ayora,EC,-0.7393,-90.3518,69.85,85,98,8.08,overcast clouds
40,Asau,RO,46.4333,26.4,63.95,51,100,10.13,overcast clouds
41,Bluff,NZ,-46.6,168.3333,49.98,84,100,2.28,overcast clouds
42,Yarada,IN,17.65,83.2667,79.12,94,90,4.61,overcast clouds
43,Barao De Melgaco,BR,-16.1944,-55.9675,90.12,38,5,6.11,clear sky
44,Busselton,AU,-33.65,115.3333,54.09,74,5,8.97,clear sky
45,La Ronge,CA,55.1001,-105.2842,28.65,86,20,3.44,few clouds
46,Atuona,PF,-9.8,-139.0333,77.83,76,30,19.55,light rain
47,Sal Rei,CV,16.1833,-22.9167,88.0,55,0,20.71,clear sky
48,Bambous Virieux,MU,-20.3428,57.7575,79.05,73,75,13.8,broken clouds
49,Naurskaya,RU,43.6519,45.3133,67.14,37,0,4.52,clear sky
50,Umm Lajj,SA,25.0213,37.2685,83.73,62,0,16.33,clear sky
51,Nuuk,GL,64.1835,-51.7216,32.61,55,1,33.38,sand
52,Hervey Bay,AU,-25.2986,152.8535,76.03,86,19,13.91,few clouds
53,Ixtapa,MX,20.7,-105.2,80.22,94,20,3.44,few clouds
54,Clyde River,CA,70.4692,-68.5914,23.23,80,90,5.75,overcast clouds
55,Rosarito,MX,32.3333,-117.0333,61.75,85,1,6.62,clear sky
56,Dikson,RU,73.5069,80.5464,18.99,78,100,11.34,overcast clouds
57,Qaanaaq,GL,77.484,-69.3632,-2.42,71,0,9.06,clear sky
58,Hilo,US,19.7297,-155.09,72.63,82,75,6.91,broken clouds
59,Jamestown,US,42.097,-79.2353,49.08,89,90,4.0,overcast clouds
60,Balclutha,NZ,-46.2339,169.75,43.27,99,100,1.59,overcast clouds
61,Barrow,US,71.2906,-156.7887,26.62,93,90,0.0,light snow
62,Aksay,RU,47.26,39.87,68.25,51,6,15.99,clear sky
63,Yellowknife,CA,62.456,-114.3525,37.42,91,1,11.5,clear sky
64,Kodiak,US,57.79,-152.4072,39.9,70,100,20.69,overcast clouds
65,Longyearbyen,SJ,78.2186,15.6401,19.24,79,75,11.5,broken clouds
66,Torbay,CA,47.6666,-52.7314,48.58,73,20,14.97,very heavy rain
67,Chilca,PE,-12.5211,-76.7372,65.61,81,100,6.51,overcast clouds
68,Lodja,CD,-3.4833,23.4333,84.72,54,100,1.88,overcast clouds
69,Owando,CG,-0.4819,15.8999,84.7,63,85,1.9,light rain
70,Hay River,CA,60.8156,-115.7999,33.78,75,40,5.75,scattered clouds
71,Zhezkazgan,KZ,47.8043,67.7144,36.52,94,100,21.65,overcast clouds
72,Berdigestyakh,RU,62.0989,126.6992,28.94,94,100,6.42,overcast clouds
73,Butaritari,KI,3.0707,172.7902,82.38,79,19,16.71,light rain
74,Luderitz,NA,-26.6481,15.1594,63.59,67,0,14.25,clear sky
75,New Norfolk,AU,-42.7826,147.0587,59.9,67,100,2.1,light rain
76,Hithadhoo,MV,-0.6,73.0833,82.24,73,21,10.4,few clouds
77,San Quintin,MX,30.4833,-115.95,61.66,88,6,9.28,clear sky
78,Turukhansk,RU,65.8167,87.9833,36.59,89,100,11.61,light rain
79,Aginskoye,RU,51.1,114.53,36.18,59,0,3.33,clear sky
80,Valdez,EC,1.2492,-78.9831,77.25,83,99,4.32,overcast clouds
81,Cape Town,ZA,-33.9258,18.4232,65.1,66,75,10.0,light rain
82,Muroran,JP,42.3172,140.9881,47.28,70,19,12.64,few clouds
83,Khatanga,RU,71.9667,102.5,8.38,93,100,7.38,overcast clouds
84,Imbituba,BR,-28.24,-48.6703,77.83,58,0,6.11,clear sky
85,Chuy,UY,-33.6971,-53.4616,67.19,58,4,1.52,clear sky
86,Bolgatanga,GH,10.7856,-0.8514,98.76,32,13,4.05,few clouds
87,Codrington,AU,-38.2667,141.9667,53.38,90,100,9.4,overcast clouds
88,Nikolskoye,RU,59.7035,30.7861,47.88,65,100,18.32,light rain
89,Saint-Philippe,RE,-21.3585,55.7679,81.48,80,81,4.94,light rain
90,Yei,SS,4.095,30.6779,81.68,65,83,1.95,light rain
91,Durban,ZA,-29.8579,31.0292,93.92,35,100,12.8,overcast clouds
92,Nasirabad,IN,26.3,74.7333,77.67,47,0,6.67,clear sky
93,Salinas,US,36.6777,-121.6555,62.53,88,90,17.27,overcast clouds
94,Pinega,RU,64.7001,43.3936,32.52,97,100,9.89,snow
95,Haines Junction,CA,60.7522,-137.5108,30.15,93,100,1.14,overcast clouds
96,Salamiyah,SY,35.0113,37.0532,79.09,25,4,0.6,clear sky
97,Khani,GE,41.9563,42.9566,67.57,58,0,0.89,clear sky
98,Alamogordo,US,32.8995,-105.9603,63.01,52,1,5.75,clear sky
99,Xuddur,SO,4.1213,43.8894,79.59,62,65,5.97,light rain
100,Coihaique,CL,-45.5752,-72.0662,48.15,49,40,9.22,scattered clouds
101,Lasa,IT,46.6166,10.7002,62.02,54,39,2.1,scattered clouds
102,Labrea,BR,-7.2586,-64.7981,84.87,65,100,3.85,overcast clouds
103,Saskylakh,RU,71.9167,114.0833,-5.69,100,99,1.68,overcast clouds
104,Husavik,IS,66.0449,-17.3389,31.91,65,100,8.66,overcast clouds
