City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nikolskoye,RU,2021-10-19 19:09:47,59.7035,30.7861,32.88,80,96,3.56
1,Kavaratti,IN,2021-10-19 19:10:32,10.5669,72.642,81.99,74,100,9.01
2,Sao Joao Da Barra,BR,2021-10-19 19:10:32,-21.6403,-41.0511,71.69,89,100,17.36
3,Odweyne,SO,2021-10-19 19:10:33,9.4092,45.064,76.86,43,14,11.18
4,Jamestown,US,2021-10-19 19:05:54,42.097,-79.2353,67.51,50,1,5.99
5,Lagoa,PT,2021-10-19 19:10:33,39.05,-27.9833,68.29,70,2,15.08
6,Calvinia,ZA,2021-10-19 19:10:33,-31.4707,19.776,66.74,7,0,7.07
7,Lebu,CL,2021-10-19 19:09:45,-37.6167,-73.65,60.03,73,2,10.33
8,Atuona,PF,2021-10-19 19:09:40,-9.8,-139.0333,78.33,75,1,20.49
9,Mahebourg,MU,2021-10-19 19:09:57,-20.4081,57.7,73.69,78,40,8.05
10,Amapa,BR,2021-10-19 19:10:34,1.0,-52.0,96.26,27,80,6.38
11,Hermanus,ZA,2021-10-19 19:09:27,-34.4187,19.2345,58.8,82,0,12.53
12,Beringovskiy,RU,2021-10-19 19:09:49,63.05,179.3167,26.74,80,53,16.87
13,Ushuaia,AR,2021-10-19 19:09:08,-54.8,-68.3,56.82,64,100,10.87
14,Tuktoyaktuk,CA,2021-10-19 19:10:08,69.4541,-133.0374,22.35,83,16,8.95
15,Bluff,NZ,2021-10-19 19:09:13,-46.6,168.3333,47.77,63,95,9.17
16,Moron,AR,2021-10-19 19:08:23,-34.6534,-58.6198,78.03,40,0,1.99
17,Punta Arenas,CL,2021-10-19 19:09:16,-53.15,-70.9167,66.31,45,75,27.63
18,Grimshaw,CA,2021-10-19 19:10:35,56.1834,-117.6027,38.01,67,100,12.71
19,Torbay,CA,2021-10-19 19:09:07,47.6666,-52.7314,60.49,68,0,1.01
20,Ardahan,TR,2021-10-19 19:10:36,41.1087,42.7022,38.32,92,99,5.21
